smiles,density,refractive_index,dielectric_const_dc,thermal_conductivity
*C(C*)c1ccc(cc1)C(=O)CC,1.033214439,1.56250716,3.62079951,0.244573024
*C(C*)c1ccc(cc1)C(=O)CCC,1.016565854,1.555340827,3.30297432,0.245764324
*C(C*)c1ccc(cc1)C(=O)CCCC,1.003231285,1.550163486,3.146851486,0.263241449
*C(C*)c1ccc(cc1)C(=O)CCCCC,0.988783183,1.541764026,2.949398649,0.258123945
*C(C*)c1ccc(cc1)C(=O)CCCCCCC,0.970813314,1.535520847,2.843414199,0.271736697
*C(C*)c1ccc(cc1)C(=O)Cc1ccccc1,1.103006997,1.61352825,2.96458179,0.219547247
*C(C*)c1ccc(cc1)C(=O)c1ccccc1,1.09827774,1.631488464,3.091521468,0.216592432
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)C,1.067378891,1.620823287,3.041035621,0.242415832
*C(C*)c1ccc(cc1)F,1.087380654,1.52901129,2.45081805,0.163887726
*C(C*)c1ccc(cc1)I,1.7178258,1.590476892,2.613714048,0.097198673
*C(C*)c1ccc(cc1)N(C)C,1.01782468,1.597872385,2.654586893,0.270531824
*C(C*)c1ccc(cc1)OC,1.042086594,1.562641786,2.974605632,0.215501326
*C(C*)c1ccc(cc1)OCC,1.016879034,1.549059565,3.003548137,0.242464965
*C(C*)c1ccc(cc1)OCCC,0.991729585,1.540317076,2.724825591,0.243869844
*C(C*)c1ccc(cc1)OCCCC,0.984185099,1.540014448,2.685260528,0.246692673
*C(C*)c1ccc(cc1)OCCC(C)C,0.976437278,1.533991844,2.641129777,0.282457207
*C(C*)c1ccc(cc1)Oc1ccccc1,1.10105886,1.627379089,2.815945989,0.221253857
*C(C*)c1ccc(cc1)c1ccc(cc1)c1ccccc1,1.054606035,1.696236306,2.910005507,0.239465602
*C(C*)c1ccc(cc1)S(=O)(=O)OCCC,1.166750668,1.515136043,2.88016155,0.209057278
*C(C*)c1c(cccc1Cl)Cl,1.262465174,1.562200336,2.501320449,0.113806933
*C(C*)c1c(cc(cc1)C)C,0.940383427,1.543009001,2.413794119,0.214891697
*C(C*)c1c(cc(cc1)C(C)C)C(C)C,0.871064672,1.489474578,2.255177618,0.215437297
*C(C*)c1c(cc(cc1)F)C,1.058654554,1.520703472,2.41264353,0.167659758
*C(C*)c1c(cc(cc1)Cl)C,1.101968119,1.559401404,2.570522863,0.163669069
*C(C*)c1c(cc(cc1)Cl)Cl,1.253540775,1.567133826,2.540096194,0.107893694
*C(C*)c1c(ccc(c1)C)C,0.925112294,1.532862311,2.38181416,0.194019925
*C(C*)c1c(ccc(c1)C(C)(C)C)C,0.896333211,1.507772826,2.304727934,0.211943136
*C(C*)c1c(ccc(c1)C(C)C)C(C)C,0.870067341,1.490946565,2.253397544,0.190254382
*C(C*)c1c(ccc(c1)Cl)Cl,1.246008309,1.562133092,2.466739437,0.112111131
*C(C*)c1c(ccc(c1)F)F,1.182523433,1.496134816,2.28356761,0.146382976
*C(C*)c1c(ccc(c1)C)F,1.053218614,1.523908365,2.418182053,0.195322638
*C(C*)c1c(ccc(c1)Br)OCCCC,1.2582648,1.53541482,2.488257122,0.15926394
*C(C*)c1c(ccc(c1)Br)OCC,1.33930596,1.546794599,2.58332191,0.139419841
*C(C*)c1c(ccc(c1)Br)OC,1.378340664,1.545112955,2.568525939,0.128686133
*C(C*)c1c(ccc(c1)Br)OCCC,1.280338839,1.531920058,2.456954218,0.138151779
*C(C*)c1c(ccc(c1)Br)OC(C)C,1.258870669,1.520695343,2.438458865,0.144697579
*C(C*)c1c(ccc(c1)Br)OCCCCC,1.225241179,1.528952427,2.452883663,0.161556934
*C(C*)c1c(ccc(c1)Br)OCCC(C)C,1.226506408,1.527452216,2.457155031,0.156760429
*C(C*)c1cc(cc(c1)C)C,0.939037292,1.546793451,2.429341786,0.239838224
*C(C*)c1cc(c(cc1)C)C,0.935056733,1.541858701,2.408632161,0.222441085
*C(C*)c1cc(c(cc1)Cl)C,1.086153317,1.550564986,2.504045572,0.152412214
*C(C*)c1cc(c(cc1)Cl)Cl,1.257069501,1.569086553,2.647867913,0.108557769
*C(C*)c1cc(c(cc1)Cl)F,1.218843924,1.537757143,2.599611067,0.121296834
*C(C*)c1c(cc(cc1C)C)C,0.93086765,1.53606914,2.399820761,0.232927166
*C(C*)c1c(cc(c(c1)C)C)C,0.929446641,1.537657473,2.395774459,0.249066929
*C(C*)c1c(c(c(c(c1F)F)F)F)F,1.449526713,1.437017022,2.221391013,0.111121575
*C(C*)(c1ccccc1)C,0.964538381,1.553540085,2.445730273,0.20669134
*C(C*)(c1ccc(cc1)C(C)C)C,0.902118305,1.517086687,2.341748495,0.22250314
*C(C(*)(F)F)(c1ccccc1)F,1.27745434,1.474554484,2.331707459,0.209551814
*C(C(*)(F)F)(c1c(c(c(c(c1F)F)F)F)F)F,1.609094369,1.380101515,1.95540429,0.109340544
*C(C*)c1c2c(ccc1)cccc2,1.049065386,1.639321769,2.724933487,0.183531473
*C(C*)c1ccc(cc1)C(=O)C,1.057706787,1.575345783,4.127159658,0.237084593
*C(C*)c1ccc(cc1)C(=O)CCN1CCOCC1,1.102048959,1.547686384,2.718339346,0.241083815
*C(C*)(C(=O)OC)c1ccccc1,1.055775059,1.504311365,2.410798624,0.174256665
*C(C*)(c1ccc(cc1)C)C,0.92469499,1.533127121,2.382410656,0.206248478
*C(C(*)c1ccccc1)[N+](=O)[O-],1.094086295,1.494894075,2.703552779,0.16724356
*C(C*)c1ccc(cc1)C(=O)C(F)(F)F,1.2814039,1.507076461,2.666346436,0.154440392
*C(C*)c1ccc(cc1)C(=O)c1ccc(cc1)OC,1.111089836,1.625381923,3.14170186,0.245710563
*C(C*)c1cc2c(cc1)cccc2,1.048762388,1.655021425,2.777459522,0.189317179
*C(C*)c1ccncc1,1.064890411,1.575878627,2.67179168,0.194624132
*C(C*)c1nc(ccc1)C,1.014862727,1.557498019,2.577277368,0.231875326
*C(C*)c1ccc(nc1)C,1.004278135,1.552084602,2.576959151,0.216347814
*C(C*)N1Nc2c(C1)cccc2,1.114969607,1.594262643,2.646501909,0.210041586
*C(C(C(C*)c1ncccc1)c1ccccc1)c1ncccc1,1.02787783,1.554926963,2.581251107,0.19889562
*C(C*)c1ccc(cc1)O,1.107283443,1.59134482,3.553901986,0.28470777
*C(C*)c1ccc(cc1)OC(=O)C,1.100534398,1.544970093,3.565189982,0.259585297
*C(C*)c1ccc(cc1)CCC,0.941423608,1.539860743,2.395348279,0.242985282
*C(C*)c1ccc(cc1)COCCCCCCOc1ccc(cc1)c1ccc(cc1)OC,1.071230538,1.606525202,4.138307676,0.265685462
*C(C*)c1ccc(cc1)COCC(CCCC)CC,0.944495503,1.495726201,2.461433731,0.26087891
*C(C*)c1ccc(cc1)COCCOCCCCCCCC,0.973660818,1.506935168,2.861142454,0.266343252
*C(C*)c1ccc(cc1)C(C(C(C(C(C(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.523217009,1.394770034,2.530894818,0.115569094
*C(CC(C*)c1ccccc1)(C(=O)OC)C#N,1.072601323,1.501105912,2.601088752,0.199800698
*C(C*)c1cc(c(cc1)C(=O)O)C(=O)O,1.289327097,1.577369784,3.215378982,0.3080457
*C(C(*)(c1c(c(c(c(c1[2H])[2H])[2H])[2H])[2H])[2H])([2H])[2H],1.071664337,1.577514954,2.520296328,0.198937871
*C(C*)O,1.174363926,1.543663888,4.113752811,0.438737902
*C(C*)C=O,1.136267031,1.525845637,5.83568205,0.267165471
*C(C*)OC(=O)CCCCCCCCCCC,0.921917489,1.453773283,2.235052412,0.282501246
*C(C*)C(=O)C,1.032572569,1.484053087,3.267243174,0.26561373
*C(C*)C(=O)C(C)C,0.945283927,1.454949363,2.574641831,0.225007493
*C(C*)(C(=O)C)C,0.974159692,1.463408798,2.48444018,0.212146266
*C(C*)C#N,1.046677705,1.502718298,2.972339387,0.227307045
*C(C*)(C#N)C,0.991092314,1.488487346,2.556528992,0.201063991
*C(C*)c1ncccc1,1.057501881,1.575539656,2.679200629,0.184406433
*C(C*)n1c2ccccc2c2ccccc12,1.099857312,1.669537395,2.845054653,0.178401902
*C(C*)OC,1.019931061,1.489369975,2.602113083,0.262373678
*C(C*)OCC,0.958386277,1.467050612,2.426119064,0.24221035
*C(C*)OC(=O)C,1.1098647,1.45227121,2.703880231,0.258656205
*C(C*)OC(=O)CC,1.060167238,1.452583281,2.577765779,0.254353251
*C(C*)OC(=O)c1ccccc1,1.143985301,1.560940796,2.699563163,0.186373384
*C(C*)CCCCCCCCCO,0.905412097,1.472520369,2.878186383,0.330609059
*C(C*)CCN(C(C)C)C(C)C,0.876082092,1.458157703,2.220242111,0.274221978
*C(C*)CCCN(C(C)C)C(C)C,0.873653205,1.466156069,2.250540589,0.27772076
*C(C*)CCCN(CC(C)C)CC(C)C,0.860541573,1.457355931,2.153310437,0.258228983
*C(C*)O[N+](=O)[O-],1.422526847,1.491928834,3.656306311,0.243039162
*C=CC(C(*)C(=O)OC)C,1.029013519,1.473496598,2.62760058,0.242911397
*C#C/C(=C(*)\COS(=O)(=O)c1ccc(cc1)C)COS(=O)(=O)c1ccc(cc1)C,1.251976494,1.577163297,3.134455076,0.255175548
*C(C*)OC=O,1.251158166,1.483562817,2.87673646,0.235150652
*C(C*)OCc1ccccc1,1.091059368,1.578676075,2.64778404,0.205595119
*C(C*)OC(C)(C)C,0.899334655,1.446307533,2.192073502,0.226849329
*C(C(*)OCC(C)C)C,0.889659735,1.448925258,2.196287165,0.222144713
*C(C*)OC(C)C,0.923613225,1.458238285,2.323429794,0.241975026
*C(C*)(OC)C,0.955616256,1.464589925,2.254993836,0.207223659
*C(C*)OCC(C)(C)C,0.874620945,1.440490298,2.202886947,0.218243316
*C(C*)OC(CC)C,0.905143445,1.448405379,2.21274136,0.235279019
*C(C*)OC(=O)C(F)(F)F,1.49183688,1.375547255,2.280340228,0.160012719
*/C=C/C(C*)OC,1.003981727,1.516968391,3.096629919,0.250969245
*C=CCC(CC*)(C(=O)OC)C,0.992758106,1.465295636,2.468775978,0.249826128
*C(C*)CCc1c(cccc1)C,0.978579324,1.558009875,2.461585196,0.237337805
*C(C*)CCc1ccc(cc1)C,0.970092286,1.555379138,2.448011568,0.23781263
*C(C*)OCCCCCCCCCCCC,0.87615794,1.458806311,2.220250209,0.325984117
*C(C(*)OCCCC)C,0.905549579,1.452764829,2.254125385,0.2476222
*C(C(*)OC(C)(C)C)C,0.874167946,1.433741507,2.112266204,0.203928088
*C(C(*)OCC)C,0.920915603,1.45195436,2.278373946,0.227848602
*C(C(*)OC(C)C)C,0.882335598,1.440760236,2.193257196,0.223844824
*C(C(*)OC)C,0.947492501,1.461518095,2.358891627,0.217127213
*C(C(*)OCCC)C,0.906495665,1.454412252,2.272428633,0.232191511
*C(C*)Cc1c(ccc(c1)C)C,0.944052893,1.540076079,2.401100418,0.219339206
*C(C*)Cc1cc(c(cc1)C)C,0.95241273,1.548452009,2.429129362,0.220624848
*C(C*)Cc1cc(cc(c1)C)C,0.95500293,1.551278542,2.444706299,0.227538068
*C(C*)Cc1cc(ccc1)C,0.976778762,1.562552371,2.475897862,0.213029156
*C(C*)Cc1c(cccc1)C,0.972209312,1.554167657,2.447975843,0.211243073
*C(C*)Cc1ccc(cc1)C,0.968403914,1.559701146,2.462678956,0.20880675
*C(C(*)O)C,1.029484838,1.48753536,3.56356547,0.269690871
*C(C*)OC(=O)c1ccc(cc1)C(C)(C)C,1.021531892,1.52514614,2.522409718,0.245177434
*C(C*)C(=O)C(C)(C)C,0.91707896,1.444416727,2.337267215,0.222675631
*C(C*)C(=O)C1CCCCC1,0.971181484,1.461013842,2.328602096,0.219884069
*C(C*)C(=O)c1c(cccc1)O,1.187225592,1.597999725,3.072242894,0.225341707
*C=CC(C*)OC,1.002721432,1.516161835,2.899020144,0.240715701
*C(=CCC*)c1ccccc1,1.017027333,1.639380629,2.726881983,0.209330511
*C(O)C(*)O,1.396107757,1.537706111,7.533411108,0.503119958
*C(C*)OCC(CCCC)CC,0.883883354,1.452934882,2.188568265,0.250639578
*C(C*)SCCCC,0.975699357,1.517167972,2.559208709,0.231505378
*C(C*)OC1CCCCC1,0.948633594,1.461648001,2.18385783,0.209300741
*C(C*)SCC,1.030279109,1.530222633,2.906126126,0.212352519
*C(C(*)(F)F)(OC(C(C(C(F)(F)F)(F)F)(F)F)(F)F)F,1.779887798,1.288380575,1.713819376,0.09864473
*C(C(*)(F)F)(OC(C(F)(F)F)(F)F)F,1.710360798,1.281555613,1.695727039,0.104992442
*C(C(*)(F)F)(OC(F)(F)F)OC(F)(F)F,1.687186152,1.274131972,1.674189038,0.096025647
*C(C(*)(F)F)OC(F)(F)F,1.726335987,1.321084101,1.87197012,0.113432798
*C(C(*)F)(OC(F)(F)F)F,1.750235753,1.325991764,1.920679692,0.115882336
*C(C(*)(F)F)(OC(F)(F)F)F,1.816452345,1.305123092,1.783138999,0.11540703
*C(C*)OCC(CC)(C)C,0.882730644,1.44225554,2.189588334,0.235379261
*C(C*)SC,1.078850613,1.551952359,2.952890039,0.202535215
*C(C*)OCCC,0.936310658,1.462128813,2.311034159,0.240692237
*C(C*)(C(=O)C)F,1.193983784,1.441695012,2.805354378,0.210118729
